InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount
221958,SKU_1964,White Mug,38,2020-01-01 00:00,1.71,37039.0,Australia,0.47
771155,SKU_1241,White Mug,18,2020-01-01 01:00,41.25,19144.0,Spain,0.19
231932,SKU_1501,Headphones,49,2020-01-01 02:00,29.11,50472.0,Germany,0.35
465838,SKU_1760,Desk Lamp,14,2020-01-01 03:00,76.68,96586.0,Netherlands,0.14
359178,SKU_1386,USB Cable,-30,2020-01-01 04:00,-68.11,,United Kingdom,1.501433043360303
744167,SKU_1006,Office Chair,47,2020-01-01 05:00,70.16,53887.0,Sweden,0.48
210268,SKU_1087,USB Cable,25,2020-01-01 06:00,85.74,46567.0,Belgium,0.15
832180,SKU_1597,Notebook,8,2020-01-01 07:00,95.65,75098.0,Norway,0.04
154886,SKU_1907,Wireless Mouse,19,2020-01-01 08:00,98.19,87950.0,Belgium,0.05
237337,SKU_1866,Headphones,40,2020-01-01 09:00,98.17,39718.0,Italy,0.16
621430,SKU_1144,Notebook,49,2020-01-01 10:00,87.56,13030.0,United Kingdom,0.19
187498,SKU_1450,Office Chair,41,2020-01-01 11:00,59.51,32466.0,Australia,0.39
999159,SKU_1330,Blue Pen,41,2020-01-01 12:00,25.59,89794.0,Australia,0.01
275203,SKU_1709,Headphones,3,2020-01-01 13:00,2.09,97817.0,Spain,0.47
291335,SKU_1874,Wall Clock,29,2020-01-01 14:00,35.88,43017.0,Portugal,0.06
378167,SKU_1163,T-shirt,16,2020-01-01 15:00,82.58,85852.0,Belgium,0.41
141090,SKU_1656,Office Chair,7,2020-01-01 16:00,70.85,15473.0,Germany,0.0
429365,SKU_1341,Headphones,49,2020-01-01 17:00,14.91,55644.0,Netherlands,0.36
164820,SKU_1000,Backpack,21,2020-01-01 18:00,1.07,20566.0,Sweden,0.49
887201,SKU_1119,USB Cable,46,2020-01-01 19:00,27.03,19819.0,Spain,0.26
421879,SKU_1578,Wall Clock,43,2020-01-01 20:00,77.17,24716.0,Norway,0.3
818315,SKU_1463,Notebook,14,2020-01-01 21:00,66.89,16604.0,Norway,0.42
427069,SKU_1866,Wireless Mouse,39,2020-01-01 22:00,66.18,45103.0,Sweden,0.07
876997,SKU_1461,T-shirt,24,2020-01-01 23:00,70.01,14803.0,Norway,0.12
299041,SKU_1048,T-shirt,48,2020-01-02 00:00,27.87,26772.0,France,0.24
891743,SKU_1818,Blue Pen,30,2020-01-02 01:00,59.53,62114.0,Germany,0.25
203355,SKU_1326,USB Cable,33,2020-01-02 02:00,97.96,38576.0,Italy,0.23
335796,SKU_1473,Wall Clock,22,2020-01-02 03:00,28.73,60532.0,Netherlands,0.25
314176,SKU_1887,Office Chair,10,2020-01-02 04:00,86.71,47802.0,Australia,0.36
284779,SKU_1938,USB Cable,11,2020-01-02 05:00,90.69,98066.0,United States,0.39
447449,SKU_1367,White Mug,15,2020-01-02 06:00,40.36,83531.0,Portugal,0.03
521909,SKU_1286,White Mug,48,2020-01-02 07:00,8.39,59307.0,Netherlands,0.08
358795,SKU_1023,Headphones,30,2020-01-02 08:00,99.31,61358.0,United Kingdom,0.31
586232,SKU_1722,Wall Clock,14,2020-01-02 09:00,10.32,54696.0,France,0.01
600186,SKU_1292,Headphones,32,2020-01-02 10:00,82.94,26741.0,Netherlands,0.15
256730,SKU_1448,T-shirt,26,2020-01-02 11:00,35.39,28203.0,Australia,0.02
970910,SKU_1984,Backpack,21,2020-01-02 12:00,61.34,87631.0,Belgium,0.24
484681,SKU_1062,Desk Lamp,5,2020-01-02 13:00,30.77,41311.0,Spain,0.31
249503,SKU_1567,Wireless Mouse,47,2020-01-02 14:00,38.11,52219.0,France,0.27
754811,SKU_1457,T-shirt,12,2020-01-02 15:00,29.06,30037.0,Portugal,0.15
627035,SKU_1529,Notebook,29,2020-01-02 16:00,21.32,40568.0,Spain,0.16
748143,SKU_1873,Blue Pen,21,2020-01-02 17:00,36.85,89341.0,Australia,0.15
552366,SKU_1960,Backpack,25,2020-01-02 18:00,86.68,69201.0,Australia,0.02
165725,SKU_1412,USB Cable,16,2020-01-02 19:00,9.08,46393.0,France,0.04
229981,SKU_1588,Desk Lamp,31,2020-01-02 20:00,2.1,47167.0,Norway,0.29
184654,SKU_1259,Wall Clock,20,2020-01-02 21:00,24.36,73680.0,Norway,0.07
691723,SKU_1632,Wireless Mouse,31,2020-01-02 22:00,84.83,57796.0,Netherlands,0.12
419030,SKU_1907,Wireless Mouse,11,2020-01-02 23:00,93.1,18741.0,Australia,0.38
428947,SKU_1183,T-shirt,32,2020-01-03 00:00,81.47,85133.0,Italy,0.0
655839,SKU_1047,Office Chair,48,2020-01-03 01:00,4.74,,Belgium,0.22
373538,SKU_1146,Headphones,8,2020-01-03 02:00,20.35,75852.0,Belgium,0.1
431236,SKU_1793,Wall Clock,23,2020-01-03 03:00,33.63,25739.0,France,0.33
628178,SKU_1875,Backpack,8,2020-01-03 04:00,68.66,79905.0,Netherlands,0.13
665894,SKU_1805,Headphones,2,2020-01-03 05:00,33.4,59341.0,Sweden,0.16
589492,SKU_1591,T-shirt,27,2020-01-03 06:00,49.95,28756.0,Italy,0.3
356840,SKU_1747,Office Chair,36,2020-01-03 07:00,5.04,61799.0,United Kingdom,0.15
573254,SKU_1408,Blue Pen,35,2020-01-03 08:00,4.66,32638.0,Australia,0.27
449457,SKU_1439,Desk Lamp,23,2020-01-03 09:00,73.48,80321.0,Italy,0.37
765987,SKU_1457,Blue Pen,41,2020-01-03 10:00,11.4,35294.0,Germany,0.08
370936,SKU_1228,Backpack,48,2020-01-03 11:00,28.29,47376.0,Belgium,0.33
339931,SKU_1283,Office Chair,13,2020-01-03 12:00,1.47,46641.0,Spain,0.32
339629,SKU_1572,Notebook,31,2020-01-03 13:00,55.33,72552.0,Italy,0.05
305041,SKU_1731,Desk Lamp,45,2020-01-03 14:00,54.79,,United Kingdom,0.23
798361,SKU_1344,Office Chair,30,2020-01-03 15:00,45.18,64580.0,Netherlands,0.32
831912,SKU_1600,Wireless Mouse,6,2020-01-03 16:00,78.9,54809.0,Italy,0.1
517113,SKU_1946,Notebook,20,2020-01-03 17:00,39.0,43390.0,Italy,0.09
168148,SKU_1907,Wireless Mouse,26,2020-01-03 18:00,25.56,59957.0,United States,0.48
877089,SKU_1263,Office Chair,36,2020-01-03 19:00,34.13,68005.0,Italy,0.32
748531,SKU_1739,USB Cable,19,2020-01-03 20:00,69.38,96641.0,Norway,0.33
351995,SKU_1377,USB Cable,22,2020-01-03 21:00,94.81,33544.0,Germany,0.43
778843,SKU_1102,Wall Clock,12,2020-01-03 22:00,70.77,94953.0,Germany,0.33
672843,SKU_1953,Headphones,3,2020-01-03 23:00,99.17,,United States,0.03
356508,SKU_1599,T-shirt,5,2020-01-04 00:00,61.05,55140.0,Spain,0.45
903591,SKU_1022,T-shirt,5,2020-01-04 01:00,94.77,55936.0,Portugal,0.13
996942,SKU_1292,White Mug,43,2020-01-04 02:00,15.02,34933.0,Australia,0.02
206530,SKU_1266,Notebook,23,2020-01-04 03:00,24.56,14443.0,Sweden,0.32
704365,SKU_1528,Office Chair,14,2020-01-04 04:00,66.41,16761.0,United Kingdom,0.22
922352,SKU_1475,White Mug,49,2020-01-04 05:00,49.41,80434.0,United Kingdom,0.38
560337,SKU_1951,Blue Pen,39,2020-01-04 06:00,36.99,83214.0,Belgium,0.38
824839,SKU_1948,Blue Pen,7,2020-01-04 07:00,36.14,48511.0,United States,0.34
905889,SKU_1450,Backpack,35,2020-01-04 08:00,30.82,53228.0,Italy,0.03
559773,SKU_1897,Wireless Mouse,38,2020-01-04 09:00,81.28,42562.0,Sweden,0.18
308261,SKU_1284,Headphones,14,2020-01-04 10:00,36.13,96452.0,Italy,0.34
864469,SKU_1312,USB Cable,17,2020-01-04 11:00,8.62,35193.0,Belgium,0.13
441097,SKU_1161,T-shirt,7,2020-01-04 12:00,15.96,30966.0,United Kingdom,0.28
415139,SKU_1589,USB Cable,20,2020-01-04 13:00,49.92,62514.0,Germany,0.4
271829,SKU_1121,T-shirt,34,2020-01-04 14:00,13.63,61596.0,Norway,0.08
371836,SKU_1480,T-shirt,30,2020-01-04 15:00,83.42,62583.0,United Kingdom,0.45
538974,SKU_1111,Wireless Mouse,40,2020-01-04 16:00,91.57,82963.0,Norway,0.35
